*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG	
18.000000	2511.44   	18.000000	2457.56   	18.000000	2507.51   	18.000000	2507.24   	18.000000	19.8845   	18.000000	11.444    	18.000000	18.5119   	18.000000	16.6701   	18.000000	18.7623   	
19.000000	2752.2    	19.000000	2689.41   	19.000000	2746.03   	19.000000	2745.74   	19.000000	21.7562   	19.000000	12.4753   	19.000000	20.1953   	19.000000	18.108    	19.000000	20.4695   	
20.000000	3002.35   	20.000000	2930.24   	20.000000	2993.48   	20.000000	2993.15   	20.000000	23.6955   	20.000000	13.5383   	20.000000	21.936    	20.000000	19.5893   	20.000000	22.2349   	
21.000000	3261.78   	21.000000	3179.99   	21.000000	3249.73   	21.000000	3249.37   	21.000000	25.7017   	21.000000	14.6323   	21.000000	23.7332   	21.000000	21.1134   	21.000000	24.0578   	
22.000000	3530.37   	22.000000	3438.59   	22.000000	3514.68   	22.000000	3514.3    	22.000000	27.774    	22.000000	15.7567   	22.000000	25.5863   	22.000000	22.6796   	22.000000	25.9375   	
23.000000	3808.03   	23.000000	3705.98   	23.000000	3788.21   	23.000000	3787.81   	23.000000	29.9111   	23.000000	16.9105   	23.000000	27.4941   	23.000000	24.287    	23.000000	27.873    	
24.000000	4094.66   	24.000000	3982.09   	24.000000	4070.2    	24.000000	4069.8    	24.000000	32.1118   	24.000000	18.093    	24.000000	29.4559   	24.000000	25.9349   	24.000000	29.8636   	
25.000000	4390.15   	25.000000	4266.85   	25.000000	4360.55   	25.000000	4360.17   	25.000000	34.3753   	25.000000	19.3038   	25.000000	31.4709   	25.000000	27.6227   	25.000000	31.9084   	
27.000000	5007.38   	27.000000	4862.13   	27.000000	4965.95   	27.000000	4965.7    	27.000000	39.0871   	27.000000	21.8068   	27.000000	35.6575   	27.000000	31.1155   	27.000000	36.1581   	
29.000000	5659.03   	29.000000	5491.31   	29.000000	5603.69   	29.000000	5603.67   	29.000000	44.0402   	29.000000	24.4145   	29.000000	40.0485   	29.000000	34.7607   	29.000000	40.6168   	
31.000000	6344.45   	31.000000	6153.94   	31.000000	6273.41   	31.000000	6273.67   	31.000000	49.2353   	31.000000	27.1288   	31.000000	44.6418   	31.000000	38.5566   	31.000000	45.2828   	
33.000000	7063.05   	33.000000	6849.55   	33.000000	6975.8    	33.000000	6976.43   	33.000000	54.695    	33.000000	29.9599   	33.000000	49.4462   	33.000000	42.5096   	33.000000	50.1652   	
35.000000	7814.26   	35.000000	7577.72   	35.000000	7710.57   	35.000000	7711.65   	35.000000	60.4172   	35.000000	32.9069   	35.000000	54.4614   	35.000000	46.6195   	35.000000	55.2639   	
38.000000	9001.07   	38.000000	8730.08   	38.000000	8872.45   	38.000000	8874.28   	38.000000	69.4795   	38.000000	37.5396   	38.000000	62.3746   	38.000000	53.0746   	38.000000	63.3135   	
41.000000	10258.4   	41.000000	9953.35   	41.000000	10104.5   	41.000000	10107.3   	41.000000	79.0956   	41.000000	42.4119   	41.000000	70.7464   	41.000000	59.8702   	41.000000	71.8358   	
44.000000	11584.7   	44.000000	11246.2   	44.000000	11405.5   	44.000000	11409.3   	44.000000	89.253    	44.000000	47.5197   	44.000000	79.5687   	44.000000	66.9997   	44.000000	80.8237   	
47.000000	12978.5   	47.000000	12607.4   	47.000000	12774     	47.000000	12778.9   	47.000000	99.9339   	47.000000	52.8566   	47.000000	88.8307   	47.000000	74.4547   	47.000000	90.2674   	
50.000000	14438.5   	50.000000	14035.7   	50.000000	14208.6   	50.000000	14214.9   	50.000000	111.121   	50.000000	58.4108   	50.000000	98.5212   	50.000000	82.2266   	50.000000	100.156   	
55.000000	17015.6   	55.000000	16562.3   	55.000000	16743.7   	55.000000	16752.5   	55.000000	130.861   	55.000000	68.1352   	55.000000	115.601   	55.000000	95.8658   	55.000000	117.607   	
60.000000	19767.5   	60.000000	19267.1   	60.000000	19454.4   	60.000000	19466.1   	60.000000	151.918   	60.000000	78.418    	60.000000	133.803   	60.000000	110.333   	60.000000	136.235   	
65.000000	22689.5   	65.000000	22145.2   	65.000000	22336.2   	65.000000	22351.1   	65.000000	174.25    	65.000000	89.2489   	65.000000	153.092   	65.000000	125.602   	65.000000	156.007   	
70.000000	25776.8   	70.000000	25192.1   	70.000000	25384.2   	70.000000	25403     	70.000000	197.798   	70.000000	100.594   	70.000000	173.426   	70.000000	141.641   	70.000000	176.885   	
75.000000	29025.3   	75.000000	28403.6   	75.000000	28594.9   	75.000000	28617.6   	75.000000	222.528   	75.000000	112.447   	75.000000	194.774   	75.000000	158.428   	75.000000	198.842   	
80.000000	32431     	80.000000	31775.5   	80.000000	31964.1   	80.000000	31991.2   	80.000000	248.392   	80.000000	124.778   	80.000000	217.1     	80.000000	175.937   	80.000000	221.847   	
85.000000	35990.3   	85.000000	35304     	85.000000	35487.9   	85.000000	35519.9   	85.000000	275.349   	85.000000	137.572   	85.000000	240.372   	85.000000	194.145   	85.000000	245.871   	
90.000000	39699.6   	90.000000	38985.4   	90.000000	39163.4   	90.000000	39200.4   	90.000000	303.37    	90.000000	150.821   	90.000000	264.564   	90.000000	213.035   	90.000000	270.89    	
95.000000	43555.8   	95.000000	42816     	95.000000	42986.7   	95.000000	43029.2   	95.000000	332.409   	95.000000	164.506   	95.000000	289.643   	95.000000	232.582   	95.000000	296.876   	
100.000000	47555.6   	100.000000	46792.6   	100.000000	46954.5   	100.000000	47003.1   	100.000000	362.433   	100.000000	178.615   	100.000000	315.582   	100.000000	252.768   	100.000000	323.804   	
