** This file contains HiRA CsI calibrations for different Z and A isotopes.
** Each isotope has to be independently specified even if the calibration formula works for more isotopes with the same parameters.
** WARNING: calibration formulas can't contain the '*' character. Please replace it with a '.' to indicate a multiplication.
**************************************************************************************************************************************** 
 *tel    csi      Z      A          Fenhai's Formula                 NumParPar0             Par1        Par2       Par3
   11      0      1      2                        [0]+[1].x^[2]                3  -0.00975633  0.00975781    0.912847
   11      0      1      3                        [0]+[1].x^[2]                3  0.000730638  0.00770186     0.96769
   11      1      1      1          [0]+[1].x^((1+[2])/(1+[3]))                4  0.00308055  0.00761418     1.66292   1.77827
   11      1      1      2          [0]+[1].x^((2+[2])/(2+[3]))                4  0.00308055  0.00761418     1.66292   1.77827
   11      1      1      3          [0]+[1].x^((3+[2])/(3+[3]))                4  0.00308055  0.00761418     1.66292   1.77827   
** telescope 11 crystal 2 has a bad calibration   .
   11      2      1      1                        [0]+[1].x^[2]                3   0.0200535  0.00669151    0.980059
   11      2      1      2                        [0]+[1].x^[2]                3  -0.0152476   0.0103483    0.911211
   11      2      1      3                        [0]+[1].x^[2]                3  -0.0301752   0.0122232    0.883868
   11      3      1      1          [0]+[1].x^((1+[2])/(1+[3]))                4   0.0073617  0.00757869    0.556371  0.617493
   11      3      1      2          [0]+[1].x^((2+[2])/(2+[3]))                4   0.0073617  0.00757869    0.556371  0.617493
   11      3      1      3          [0]+[1].x^((3+[2])/(3+[3]))                4   0.0073617  0.00757869    0.556371  0.617493
* Helium calibration
 *tel    csi      Z      A               Fit Formula  Helium                                                NumParPar0             Par1        Par2       Par3
    0      0      2      3  [0]+[1].(x-[2].3.pow(2,2).log(fabs((x+[2].3.pow(2,2))/([2].3.pow(2,2)))))                3  -0.0229239  0.00725212   0.0319773
    0      0      2      4  [0]+[1].(x-[2].4.pow(2,2).log(fabs((x+[2].4.pow(2,2))/([2].4.pow(2,2)))))                3  -0.0229239  0.00725212   0.0319773
    0      0      2      6  [0]+[1].(x-[2].6.pow(2,2).log(fabs((x+[2].6.pow(2,2))/([2].6.pow(2,2)))))                3  -0.0229239  0.00725212   0.0319773
